index,label,text
1,1,sweet united nations video just in time for christmas imagine noreligion url
2,1,user we are rumored to have talked to erv agent and the angels asked about ed escobar that hardly nothing
3,1,hey there nice to see you minnesota nd winter weather
4,0,episodes left dying over here
5,1,can breathe was chosen as the most notable quote of the year in an annual list released by yale university librarian
6,0,you re never too old for footie pajamas url
7,1,nothing makes me happier then getting on the highway and seeing break lights light up like christmas tree
8,0,an opening my first beer now gonna be long night day
9,0,user do you think you would support guy who knocked out your daughter rice doesn deserve support
10,0,user you are not allowed to open that until christmas day
11,1,oh thank god our entire office email system is down the day of big event santa you know just what to get me for xmas
12,0,but instead scrolling through facebook instagram and twitter for hours on end accomplishing nothing
13,0,user poutingface no he bloody isn was upstairs getting changed
14,0,cold or warmth both suffuse one cheeks with pink colour tone do you understand the underlying difference its texture
15,1,just great when you re mobile bill arrives by text
16,1,crushes are great until you realize they ll never be interested in you
17,1,buffalo sports media is smarter than all of us where else can you get the quality insight offered by harrington and busgaglia
18,0,guess my cat also lost pounds when she went to the vet after ve been feeding her few times day eating food workingout
19,1,user user trading sp for defense only ss brilliant trade
20,1,but user was trying to find us and my battery died guess how he found us yes that bastard wand
21,1,user please do need the second hand embarrassment so desperatly on my phone
22,0,never cared for beyonce bc could never get sense of who she was her interviews lacked depth user tho this girl got it
23,1,user time to hit the books then
24,0,user thx flw flwthemusic user user we elektrikbloom elektrikfantasy iwant drift elev theunderground
25,1,love these cold winter mornings grimacingface best feeling everrrrrrr
26,0,amazingly url is not owned by bhp they are going to have to shell out some decent money for it bhpbilliton south
27,0,wish she could have told me herself user onelove myfav myqueen url
28,0,the rain has made extra extra lazy
29,0,was doing great with this summary of my year until got to june th and the weekend of user birthday rivertrip groupchat
30,0,see that might show up on background check and you be denied its catch we have the right to self protection user
31,1,smh never knew something could be halal been muslim my whole life but somehow ve learned something new guess
32,1,wonderful day of starting work at am
33,0,feel like whole life is about waiting waiting and waiting
34,0,user lol will let my kids know when they get up in the morning thanks for the tip
35,1,user you guys sure screwed this up royally happy for lester the brain trust over there sucks nicejob lestertochicago
36,0,aussie gunman was on terrorist watch list pm says sydney the gunman who took hostages in sydney url
37,1,twig is now sprig sec limit on new social video platform techtalk editorspick sillyvine tr url
38,0,user and what will that achieve seriously to be fired all the guys who had the balls to call them out are gone
39,1,yay for another work at am day neutralface
40,1,physical therapy at am is just what want to be doing with my friday iwanttosleep
41,1,omg user didn tell user he was in town truefriend
42,1,thought what we had was real how could you be fine coz not fine at all oh wait fixed the caps lock laughnow
43,1,hahahaha hypocrisy mt user katie hopkins calls russell brand bully url
44,1,that moment when you have so much stuff to do but you open user productivity tumblr
45,0,lol enjoying it talks crazyness sheneverleft sleepy smilingface
46,1,luv this
47,1,when some naturopaths sell aromatic herbs the way apothecaries sell noxious poisons naturopath apothecary herb poison
48,0,user goal of the season goal jon sammels arsenal vs manutd url user user
49,0,really what else can fish be besides fish user user user user
50,0,user think it safe bet it won fit the crime
51,1,it will be impossible for me to be late if start to dress up right now studing university lazy
52,1,when you re already running late and then your car won start fantasticfriday
53,1,decided to become my own boss to have more free time now have no time left whatsoever
54,0,loyalty vs self protection loyalty vs self protection loyalty vs self protection loyalty vs self protection
55,0,american kids starting playing and now super missing summer kennychesney
56,0,user don know how monsanto among most sustainable cos in the world sure all parameters are measured net positive
57,0,none of the big disruptive innovations in our lives have come out of brainstorming bruce nussbaum url
58,0,that way people get to understand disabilities and not stare at us funny wen we out and about idpwd disability
59,1,user user shit better shut my stupid girly mouth because im so concerned about what men might think of me
60,0,why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth
61,0,tell me the quintessential aussie now isn govt paid job then have the hyde to buy overseas online and pay no gst mmm sadbuttrue
62,0,user dirk got lot of moves trying to steal kevin durant on his one legged fadeway
63,1,about once yr get little nutty and reach for the orange marmalade livingontheedge url
64,1,rogers that smile just so accurately captures my reaction when receive an extra high phone bill url
65,1,whatever happened to the guano apes did they ever make it big in japan
66,0,bmw sexy az hell but too slow for the dinero in the quarter mile slow fan of the design feeling the url
67,0,let your humility guard your pride vanity shouldn be allowed to be with such delicate thing
